"concept_id","concept_code","concept_name","vocabulary_id"
37167477,"1264557007","Education about continuous ambulatory peritoneal dialysis","SNOMED"
37164760,"1231767006","Education about nocturnal home hemodialysis","SNOMED"
46270933,"708932005","Emergency hemodialysis","SNOMED"
37396069,"715743002","Emergency hemofiltration","SNOMED"
37018686,"361000124100","Error in prescription for peritoneal dialysis","SNOMED"
3579207,"291421000000102","Extracorporeal albumin haemodialysis","SNOMED"
3526283,"284451000000108","Extracorporeal albumin haemodialysis","SNOMED"
4140589,"427053002","Extracorporeal albumin hemodialysis","SNOMED"
35624178,"766790006","Extracorporeal hemodialysis","SNOMED"
4224193,"341939001","Extracorporeal hemofiltration","SNOMED"
439631,"216933008","Failure of sterile precautions during kidney dialysis","SNOMED"
4101363,"300478000","Finding of measures of dialysis","SNOMED"
4128232,"236539007","First use syndrome of dialysis","SNOMED"
3545817,"855861000000106","First use syndrome of dialysis","SNOMED"
439634,"216904007","Foreign object left in body during kidney dialysis","SNOMED"
45772964,"707721003","Four hours after peritoneal dialysis","SNOMED"
45956871,"18682911000001103","Haemodialysis","SNOMED"
3537777,"640081000000105","Haemodialysis NEC","SNOMED"
44808938,"851261000000107","Haemodialysis care","SNOMED"
44808937,"851241000000106","Haemodialysis care management","SNOMED"
44808963,"851641000000108","Haemodialysis care plan","SNOMED"
44802886,"518231000000102","Haemodialysis needle gauge","SNOMED"
3546074,"867041000000101","Haemorrhage of dialysis arteriovenous shunt","SNOMED"
3546043,"865811000000103","Haemorrhage of dialysis vascular access","SNOMED"
40483349,"445384000","Hemodialysate specimen from hemodialysis machine using reverse osmosis system","SNOMED"
40483851,"445529007","Hemodialysate specimen from hemodialysis machine using water distribution system","SNOMED"
40350725,"27392003","Hemodialysis","SNOMED"
4120120,"302497006","Hemodialysis","SNOMED"
40513647,"309432002","Hemodialysis","SNOMED"
4080241,"180268000","Hemodialysis NEC","SNOMED"
45757799,"431000124102","Hemodialysis access site non-patent","SNOMED"
45757807,"441000124107","Hemodialysis access site patent","SNOMED"
37397639,"718330001","Hemodialysis care","SNOMED"
37397640,"718331002","Hemodialysis care assessment","SNOMED"
37397396,"718019005","Hemodialysis care management","SNOMED"
762179,"301000124101","Hemodialysis care plan","SNOMED"
